,Country,Continent,Production (Tons),Production per Person (Kg),Acreage (Hectare),Yield (Kg / Hectare)
0,Brazil,South America,768678382,"3,668,531",10226205,751675
1,India,Asia,348448000,260721,4950000,703935
2,China,Asia,123059739,88287,1675215,734591
3,Thailand,Asia,87468496,"1,264,303",1336575,654422
4,Pakistan,Asia,65450704,324219,1130820,57879
5,Mexico,North America,56446821,452524,781054,7227
6,Colombia,South America,36951213,740075,416626,886915
7,Australia,Oceania,34403004,"1,373,406",447204,769291
8,Guatemala,North America,33533403,"1,938,114",25985,1290493
9,United States of America,North America,29926210,91304,37053,80766
10,Indonesia,Asia,27158830,10248,472693,574555
11,Philippines,Asia,22370546,210232,410104,545485
12,Argentina,South America,21990823,494237,331699,662975
13,Cuba,North America,18890972,"1,683,528",442307,427101
14,Vietnam,Asia,16313145,172334,256322,636432
15,Egypt,Africa,15760418,161651,137011,1150306
16,South Africa,Africa,15074610,261143,246937,610463
17,Myanmar,Asia,10437058,193771,16365,637767
18,Peru,South America,9832526,314768,87696,1121202
19,Ecuador,South America,8661609,507518,104661,827584
20,Iran,Asia,7687593,9403,95785,802591
21,El Salvador,North America,7202141,"1,084,111",79103,910476
22,Kenya,Africa,7094619,139244,86876,816637
23,Bolivia,South America,6910805,61118,152306,453745
24,Nicaragua,North America,6815147,"1,084,393",7413,919351
25,Paraguay,South America,6708000,951087,120,559
26,Swaziland,Africa,5583295,"4,816,299",57851,965114
27,Sudan,Africa,5525059,135428,69564,794245
28,Honduras,North America,5355700,59427,64666,828213
29,Dominican Republic,North America,4717490,459519,10681,44167
30,Nepal,Asia,4346754,148765,80931,537094
31,Zambia,Africa,4285839,253784,41695,1027896
32,Bangladesh,Asia,4207592,25481,98357,427788
33,Costa Rica,North America,4158370,83111,6903,6024
34,Mauritius,Africa,3798448,"3,002,994",51477,737892
35,Uganda,Africa,3723019,95897,54911,678014
36,Zimbabwe,Africa,3483000,234563,435,80069
37,Venezuela,South America,3331252,104664,5223,637804
38,Madagascar,Africa,3005641,114445,94157,319216
39,Tanzania,Africa,2994127,55243,108487,275991
40,Malawi,Africa,2915406,162584,27087,1076295
41,Mozambique,Africa,2761505,9568,42311,652668
42,Panama,North America,2419638,581814,37995,636831
43,Guyana,South America,2394553,"3,061,207",44311,540397
44,Congo-Kinshasa,Africa,2191333,2694,4891,448034
45,Laos,Asia,2019000,290036,3618,558043
46,Côte d'Ivoire,Africa,1982661,79606,25205,786603
47,Japan,Asia,1574000,12444,28901,544616
48,Fiji,Oceania,1556692,"1,759,199",36705,424113
49,Haiti,North America,1472712,132522,23184,635219
50,Belize,North America,1457656,"3,682,047",33964,429177
51,Jamaica,North America,1422432,521254,26255,541782
52,Ethiopia,Africa,1410312,13115,31237,451488
53,Nigeria,Africa,1337572,6776,82586,161961
54,Cameroon,Africa,1288732,54162,135984,94771
55,Trinidad and Tobago,North America,810,597066,15,54
56,Sri Lanka,Asia,747907,34877,16751,446478
57,Senegal,Africa,696992,44321,5902,1180853
58,Congo-Brazzaville,Africa,687365,127292,20132,341424
59,Cambodia,Asia,610878,38014,27387,223055
60,Angola,Africa,556094,19012,14255,390116
61,Burkina Faso,Africa,484872,23951,4823,1005263
62,Chad,Africa,455986,297,4433,1028671
63,Morocco,Africa,426503,12265,10434,408763
64,Taiwan,Asia,3958,16788,5917,668966
65,Uruguay,South America,3677,104878,76,483816
66,Mali,Africa,365119,19108,5035,725211
67,Guinea,Africa,304975,25664,5683,536684
68,Gabon,Africa,286466,138553,4645,616753
69,Liberia,Africa,272804,6225,26781,101864
70,Burundi,Africa,218115,2042,2998,727535
71,Papua New Guinea,Oceania,217866,25455,6999,311289
72,Niger,Africa,216037,10064,584,369897
73,Somalia,Africa,21062,13873,5731,367492
74,Ghana,Africa,152136,5137,6122,248489
75,Suriname,South America,125286,220457,313,400224
76,Central African Republic,Africa,103002,21742,18466,55778
77,Saint Kitts and Nevis,North America,100,"2,164,315",18,555556
78,Rwanda,Africa,93823,7818,1103,85063
79,Barbados,North America,83369,291105,1733,481068
80,Sierra Leone,Africa,77269,10009,1107,698113
81,The Bahamas,North America,57602,151059,2308,249535
82,Cape Verde,Africa,28375,52152,1296,218881
83,Saint Vincent and the Grenadines,North America,17871,163121,732,244289
84,Afghanistan,Asia,17364,55,1333,130263
85,Bhutan,Asia,146,20079,467,312527
86,Benin,Africa,12017,1058,598,200953
87,Iraq,Asia,1167,297,584,20
88,Saint Lucia,North America,10,55915,125,80
89,Grenada,North America,7273,70388,162,448223
90,Guinea-Bissau,Africa,6864,4331,259,264988
91,Malaysia,Asia,5714,175,88,652238
92,Portugal,Europe,5429,528,62,882744
93,Antigua and Barbuda,North America,5365,6217,83,646386
94,Dominica,North America,4855,68099,244,199144
95,Oman,Asia,1186,237,51,234322
96,Yemen,Asia,500,17,50,10
97,Spain,Europe,394,8,9,435965
98,Lebanon,Asia,97,16,3,283864
99,Singapore,Asia,50,9,2,25
100,Samoa,Oceania,12,6,1,119498
